payment_type,date,year,total_fare,total_tips,total_tolls,total_extras,trip_total,total_trp_miles,total_trip_minutes
Cash,2020-07-03,2020,30896.88,0,4.5,5284.06,36185.439999999995,7300.5600000000022,36432.16666666665
Cash,2020-07-04,2020,27132.039999999994,0,3.6,1634.5,28770.14,6763.340000000002,28707.383333333342
Cash,2020-07-05,2020,25945.8,0,12,2162.25,28120.55,6921.0800000000027,32135.133333333324
Cash,2020-07-06,2020,33660.149999999994,0,10.3,2121.3199999999997,35791.770000000004,8168.9999999999909,35137.366666666654
Cash,2020-07-07,2020,31545.870000000003,0,1.5,1763.2399999999998,33310.61,7382.3600000000088,38108.86666666672
Cash,2020-07-08,2020,31477.309999999998,0,3.6,2700.14,34181.049999999996,7652.2300000000068,35343.033333333326
Cash,2020-07-09,2020,30444.379999999997,0,0,1433.75,31878.129999999997,7697.2000000000135,32052.999999999956
Cash,2020-07-10,2020,33540.150000000009,0,3,13758.55,47302.700000000012,7768.7300000000068,41878.133333333295
Cash,2020-07-11,2020,25734.2,0,50.15,1534.75,27319.1,5939.0500000000093,27150.950000000033
Cash,2020-07-12,2020,23332.97,0,24.15,1545.75,24902.870000000003,5803.8200000000143,23609.316666666648
Cash,2020-07-13,2020,29968.56,0,5.4,1863.15,31837.11,6887.82,29387.883333333313
Cash,2020-07-14,2020,29376.469999999994,0,3,5858.25,35238.219999999994,7431.55000000002,34783.4166666667
Cash,2020-07-15,2020,29914.620000000006,0,4.5,1293.5,31212.620000000006,7023.27000000002,34837.233333333352
Cash,2020-07-16,2020,29795.920000000002,2,37.5,1229.73,31065.149999999998,6740.260000000013,37279.583333333307
Cash,2020-07-17,2020,31851.949999999993,0,76.9,3057.8500000000004,34986.7,7498.7500000000064,35185.516666666706
Cash,2020-07-18,2020,24725.92,4,4,1570.9099999999999,26304.829999999994,5552.3799999999965,26431.699999999972
Cash,2020-07-19,2020,19429.25,0,0,1346,20775.25,4971.2400000000025,20030.566666666648
Cash,2020-07-20,2020,29447.880000000005,9.9,0,1393.5,30851.780000000002,6747.8800000000083,40889.699999999983
Cash,2020-07-21,2020,28535.120000000006,0,0,1264.11,29799.230000000003,6221.2099999999973,32571.316666666666
Cash,2020-07-22,2020,30307.750000000004,7.65,53.4,2003.5399999999997,32372.340000000007,7386.4600000000091,33605.250000000007
Cash,2020-07-23,2020,29027.48,0,3,5919.0499999999993,34949.53,6523.630000000011,38489.016666666685
Cash,2020-07-24,2020,32438.119999999995,5,0,1402.7399999999998,33845.86,7856.1200000000144,35443.75
Cash,2020-07-25,2020,23524.36,3.3,0,1513.1599999999999,25040.819999999996,6465.6599999999953,25296.133333333357
Cash,2020-07-26,2020,21658.55,0,6.4,2105,23769.949999999997,5727,26467.950000000008
Cash,2020-07-27,2020,31555.65,13.65,5.9,1557.8600000000001,33133.06,7467.5,38106.833333333321
